contractSymbol,strike,oi_change,oi_change_pct,signal_type,stock_price_change_pct,option_type,openInterest_new,openInterest_old,amount_threshold,amount_to_market_cap,amount_tier,expiry_date,price_basis_new,price_basis_old,price_source_new,price_source_old,spread_pct_new,股票价格(new),股票价格(old),股票价格(new open),股票价格(new high),股票价格(new low),lastPrice_new,bid,ask,volume,impliedVolatility,inTheMoney,symbol,lastPrice_old,spread_pct_old,option_price_change,stock_price_change,market_cap,option_price_change_pct,oi_change_abs
SNDK270617P01580000,1580.0,284.0,326.4367816091954,多头买 Put，看跌,-5.772187878048217,PUT,371.0,87.0,10755080.0,0.0007595054978249195,10M-50M,2027-06-17,378.7,357.15,mid,mid,0.029046738843411673,1539.0699462890625,1633.3499755859375,1521.5250244140625,1565.9200439453125,1505.0,358.6,373.2,384.2,328.0,0.6696390763473511,True,SNDK,358.6,0.0249195016099679,0.06033879322413555,-0.05772187878048217,14160634822.0,6.033879322413555,284.0
ORCL261218P00150000,150.0,5386.0,60.31354983202688,多头买 Put，看跌,-3.8667580911032595,PUT,14316.0,8930.0,10206470.0,1.267078184648943e-05,10M-50M,2026-12-18,18.95,16.15,mid,mid,0.026385224274406333,144.44500732421875,150.2550048828125,141.4199981689453,145.32000732421875,141.00999450683594,19.0,18.7,19.2,143.0,0.5333298620605469,True,ORCL,16.3,0.024767801857585273,0.17337461300309603,-0.0386675809110326,805512250440.0,17.337461300309602,5386.0
GOOGL270917C00380000,380.0,2402.0,628.7958115183246,多头买 Call，看涨,2.0206783863783233,CALL,2784.0,382.0,9902245.0,3.321056861727345e-06,5M-10M,2027-09-17,41.225,38.125,mid,mid,0.03759854457246809,345.3399963378906,338.5,343.20001220703125,347.2799987792969,342.2799987792969,40.75,40.45,42.0,3.0,0.3992674819946289,False,GOOGL,38.33,0.019672131147540985,0.0813114754098361,0.020206783863783235,2981654760000.0,8.13114754098361,2402.0
MU261016C00900000,900.0,1309.0,40.77881619937695,空头卖 Call，看跌/看不涨,-5.215018030297921,CALL,4519.0,3210.0,9850225.0,5.5965659690276246e-05,5M-10M,2026-10-16,75.25,114.025,mid,mid,0.029235880398670946,924.4000244140624,975.260009765625,906.75,927.0,902.5999755859376,75.51,74.15,76.35,390.0,0.5681500704956054,True,MU,114.33,0.0328875246656435,-0.3400570050427538,-0.052150180302979215,176004804634.0,-34.00570050427538,1309.0
BE270219C00290000,290.0,2101.0,1603.81679389313,空头卖 Call，看跌/看不涨,-6.2055473417833475,CALL,2232.0,131.0,9680357.500000002,0.0005883021620415119,5M-10M,2027-02-19,46.075,59.375,mid,mid,0.048833423765599564,258.4599914550781,275.5599975585937,256.3949890136719,261.70001220703125,249.0500030517578,46.0,44.95,47.2,8.0,0.8504348452758789,False,BE,58.63,0.04631578947368421,-0.22399999999999995,-0.062055473417833476,16454737250.0,-22.399999999999995,2101.0
ORCL270617C00175000,175.0,5008.0,549.1228070175439,空头卖 Call，看跌/看不涨,-3.8667580911032595,CALL,5920.0,912.0,9577800.0,1.1890321959434209e-05,5M-10M,2027-06-17,19.125,22.1,mid,mid,0.03398692810457509,144.44500732421875,150.2550048828125,141.4199981689453,145.32000732421875,141.00999450683594,19.05,18.8,19.45,16.0,0.5864604342651367,False,ORCL,21.96,0.036199095022624465,-0.13461538461538466,-0.0386675809110326,805512250440.0,-13.461538461538467,5008.0
NVDA281215P00170000,170.0,4447.0,45.488952536824875,多头买 Put，看跌,-2.922712822506997,PUT,14223.0,9776.0,9527697.5,2.200383393413929e-06,5M-10M,2028-12-15,21.424999999999997,20.2,mid,mid,0.02100350058343054,211.91000366210935,218.2899932861328,211.0800018310547,212.1999969482422,208.92999267578125,21.5,21.2,21.65,5.0,0.3468693243408203,False,NVDA,20.21,0.029702970297029774,0.06064356435643554,-0.029227128225069968,4330017000000.0,6.064356435643554,4447.0
MU270115P00830000,830.0,1188.0,123.49272349272348,多头买 Put，看跌,-5.215018030297921,PUT,2150.0,962.0,9138690.0,5.1922957552231614e-05,5M-10M,2027-01-15,76.925,62.3,mid,mid,0.0370490737731556,924.4000244140624,975.260009765625,906.75,927.0,902.5999755859376,76.78,75.5,78.35,26.0,0.5833095258331299,False,MU,63.0,0.024077046548956663,0.23475120385232745,-0.052150180302979215,176004804634.0,23.475120385232746,1188.0
META260918C00625000,625.0,-2637.0,-39.47013920071846,空头平仓 Call，回补信号，看涨,1.7954335762947427,CALL,4044.0,6681.0,8946022.5,4.788052610062535e-06,5M-10M,2026-09-18,33.925,27.85,mid,mid,0.048636698599852576,659.6649780273438,648.030029296875,657.6199951171875,663.9000244140625,649.25,33.95,33.1,34.75,192.0,0.215828154296875,True,META,27.68,0.003590664272890408,0.21813285457809678,0.017954335762947426,1868405222031.0,21.813285457809677,-2637.0
SE261218P00105000,105.0,9969.0,12618.987341772152,空头卖 Put，看涨/看不跌,2.117846428126959,PUT,10048.0,79.0,8747797.5,8.005302534403887e-05,5M-10M,2026-12-18,8.774999999999999,10.2,mid,mid,0.07407407407407413,108.48999786376952,106.23999786376952,104.54000091552734,109.05999755859376,104.5999984741211,9.3,8.45,9.1,10003.0,0.4939015454101563,False,SE,9.3,0.19607843137254904,-0.13970588235294126,0.02117846428126959,109275039418.0,-13.970588235294127,9969.0
